Unnamed: 0,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price
5880,40.822506,-73.938911,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,83.0
5881,40.68512,-73.9516,Entire rental unit,Entire home/apt,2,1.0,1 bath,2.0,2.0,83.0
5882,40.68234,-73.9385,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,3.0,83.0
5883,40.7121878,-73.81260055,Private room in rental unit,Private room,1,1.5,1.5 shared baths,1.0,1.0,83.0
5884,40.71231281,-73.81286598,Private room in rental unit,Private room,1,1.0,1 bath,1.0,1.0,83.0
5885,40.67609784,-73.77863087,Private room in bed and breakfast,Private room,2,1.5,1.5 baths,1.0,1.0,83.0
5886,40.70295962,-73.936214,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,84.0
5887,40.74154,-73.89189,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,84.0
5888,40.68042371,-73.95203277,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,2.0,84.0
5889,40.77724,-73.9076,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,84.0
5890,40.70544,-73.89947,Private room in rental unit,Private room,1,0.0,0 shared baths,5.0,1.0,84.0
5891,40.67917831,-74.01101243,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,84.0
5892,40.74924,-73.99823,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,2.0,84.0
5893,40.8758364,-73.8395401,Private room in home,Private room,2,1.0,1 shared bath,1.0,0.0,84.0
5894,40.75092,-73.99803,Private room in rental unit,Private room,2,1.0,1 shared bath,0.0,2.0,84.0
5895,40.76129049,-73.99047331,Private room in rental unit,Private room,1,0.0,0 shared baths,4.0,1.0,84.0
5896,40.72426,-73.99311,Entire rental unit,Entire home/apt,1,0.0,0 baths,1.0,0.0,84.0
5897,40.69184,-73.99637,Private room in home,Private room,2,1.0,1 shared bath,1.0,0.0,84.0
5898,40.74521523,-73.91510831,Entire rental unit,Entire home/apt,4,1.0,1 bath,0.0,2.0,84.0
5899,40.7343,-73.98509,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,84.0
5900,40.71421,-73.81859,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,84.0
5901,40.6795,-73.94367,Private room in rental unit,Private room,2,2.0,2 shared baths,1.0,1.0,84.0
5902,40.67033,-73.9892,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,84.0
5903,40.82772,-73.95284,Private room in rental unit,Private room,1,1.5,1.5 baths,1.0,1.0,84.0
5904,40.80262606,-73.96229623,Private room in rental unit,Private room,1,0.0,0 shared baths,3.0,1.0,84.0
